Tab,Arrivo,Categoria,Cosa fare,Cosa prenotare,Costo stimato USD,Da vedere,Data,Data notte,Google Maps,Guida stimata,Indirizzo,Link,Link prenotazione,Link utile,Luogo,Nome,Nome alloggio,Nota,Note,Pagamento,Partenza,Per quando,Priorità,Priorità del giorno,Stato,Tema,Titolo giornata,Voce,Zona
giorni,San Francisco,,,,,"Golden Gate Bridge/viewpoint, Palace of Fine Arts, Marina District, Ghirardelli Square, Fisherman’s Wharf, Pier 39, Lombard Street se resta tempo",2026-07-04,,https://www.google.com/maps/search/Golden+Gate+Bridge+Palace+of+Fine+Arts+Ghirardelli+Square+Pier+39+Lombard+Street+San+Francisco,0h,,,,,,,,,"Tenere la giornata flessibile. Evitare Tenderloin, soprattutto la zona dietro Union Square. Cable car opzionale se la coda è gestibile.",,San Francisco,,,Golden Gate + Marina/Palace of Fine Arts + Fisherman’s Wharf/Pier 39,,,San Francisco - primo giro città,,
giorni,San Francisco,,,,,"Alcatraz, Ferry Building, Embarcadero, Chinatown, Coit Tower, Mission murals, Painted Ladies, Haight-Ashbury, Golden Gate Park/Twin Peaks come extra",2026-07-05,,https://www.google.com/maps/search/Alcatraz+Ferry+Building+Coit+Tower+Mission+District+Painted+Ladies+Haight+Ashbury+San+Francisco,0h,,,,,,,,,Alcatraz merita secondo la guida della collega. Non caricare tutto: scegliete 2 zone e lasciate il resto opzionale.,,San Francisco,,,Alcatraz se prenotata + Ferry Building/Embarcadero + Mission/Painted Ladies,,,San Francisco - Alcatraz + quartieri,,
giorni,Santa Barbara,,,,,"US-101, Monterey/Carmel solo se partenza presto, San Luis Obispo, Pismo Beach, Santa Barbara waterfront",2026-07-06,,"https://www.google.com/maps/dir/San+Francisco,+CA/Santa+Barbara,+CA",6h / 6h30 senza soste lunghe,,,,,,,,,Guidare con la luce: paesaggio bello e giornate lunghe. Big Sur/costa completa rischia di allungare troppo. Stanford esclusa: non imperdibile e toglierebbe tempo a SF.,,San Francisco,,,Trasferimento verso sud con 1-2 soste massimo,,,San Francisco → Santa Barbara,,
giorni,Los Angeles,,,,,"Santa Barbara Courthouse/Stearns Wharf, Beverly Hills/Rodeo Drive, Hollywood Walk of Fame quick stop, Griffith Observatory, Santa Monica/Venice se logistica ok",2026-07-07,,"https://www.google.com/maps/dir/Santa+Barbara,+CA/Beverly+Hills,+CA/Hollywood,+Los+Angeles,+CA/Griffith+Observatory,+Los+Angeles,+CA/Santa+Monica,+CA",2h / 3h + traffico LA,,,,,,,,,LA è compressa. Evitare Downtown se siete stanchi; evitare Skid Row. Usare BestParking per parcheggi. Venice/Santa Monica meglio prima del buio.,,Santa Barbara,,,Santa Barbara breve + LA classica senza correre troppo,,,Santa Barbara → Los Angeles,,
giorni,Las Vegas,,,,,"Las Vegas Sign, Bellagio fountains/Conservatory, Venetian, Wynn, Sphere da fuori, Fremont Street/Viva Vision",2026-07-08,,"https://www.google.com/maps/dir/Los+Angeles,+CA/Las+Vegas,+NV",4h30 / 5h30 + traffico,,,,,,,,,Percorso diretto verso Las Vegas: non inserire deviazioni lunghe. Scegliere massimo 3-4 cose in serata.,,Los Angeles,,,Arrivare a Las Vegas e fare serata Strip/Fremont,,,Los Angeles → Las Vegas,,
giorni,Grand Canyon South Rim / Tusayan,,,,,"Hoover Dam opzionale, Route 66/Hackberry/Seligman opzionali, Mather Point, Yavapai, Powell/Hopi/Mohave Point, Desert View Drive se tempo",2026-07-09,,"https://www.google.com/maps/dir/Las+Vegas,+NV/Grand+Canyon+Village,+AZ",4h30 / 5h senza soste lunghe,,,,,,,,,"Dormire il più vicino possibile al canyon, non troppo lontano tipo Flagstaff se possibile. Se c’è nebbia al mattino/pomeriggio, provare più viewpoint.",,Las Vegas,,,"South Rim + viewpoint sparsi, non un solo punto",,,Las Vegas → Grand Canyon South Rim,,
giorni,Page,,,,,"Desert View Watchtower, Horseshoe Bend, Lower/Upper Antelope Canyon, Lake Powell/Glen Canyon Dam viewpoint se avanza tempo",2026-07-10,,"https://www.google.com/maps/dir/Grand+Canyon+Village,+AZ/Page,+AZ/Horseshoe+Bend,+Page,+AZ/Antelope+Canyon,+AZ",2h30 / 3h via Desert View,,,,,,,,,"Horseshoe Bend è must secondo la guida, ma breve. Antelope va prenotato e bisogna arrivare prima dell’orario tour. Evitare deviazioni extra dopo Antelope.",,Grand Canyon South Rim,,,Desert View Drive + Horseshoe Bend + Antelope Canyon prenotato,,,Grand Canyon → Page / Antelope Canyon,,
giorni,Zion / Springdale / Hurricane,,,,,"Kanab breve stop opzionale, Zion-Mt. Carmel Highway, Canyon Overlook Trail, Zion shuttle, Temple of Sinawava, Riverside Walk, Zion Canyon Brew Pub",2026-07-11,,"https://www.google.com/maps/dir/Page,+AZ/Zion+National+Park,+UT/Springdale,+UT",2h15 / 3h + visita Zion,,,,,,,,,Canyon Overlook è la mini-hike da fare assolutamente secondo la guida. Zion può essere affollato: parcheggiare e usare shuttle. Kanab solo come stop breve.,,Page,,,Canyon Overlook + shuttle Zion Canyon se riuscite,,,Page → Zion,,
giorni,Salt Lake City,,,,,"Ultimo viewpoint a Zion se dormite vicini, Cedar City/St. George solo come stop logistici, arrivo a Salt Lake City",2026-07-12,,"https://www.google.com/maps/dir/Zion+National+Park,+UT/Salt+Lake+City,+UT",4h30 / 5h,,,,,,,,,Niente deviazioni lunghe: la priorità è arrivare a SLC.,,Zion / Springdale / Hurricane,,,Trasferimento finale verso SLC,,,Zion → Salt Lake City,,
cose_da_fare,,Vista,Golden Gate Bridge / viewpoint,,0,,2026-07-04,,,,,,,https://www.goldengate.org/bridge/visiting-the-bridge/,San Francisco,,,,Viewpoint o tramonto se meteo ok. Possibile anche lato opposto ponte se avete auto.,,,,Alta,,,,,,
cose_da_fare,,Vista,Palace of Fine Arts + Marina District,,0,,2026-07-04,,,,,,,https://sfrecpark.org/Facilities/Facility/Details/Palace-of-Fine-Arts-69,San Francisco,,,,Comodo nello stesso cluster del Golden Gate.,,,,Alta,,,,,,
cose_da_fare,,Passeggiata,Ghirardelli Square + Fisherman’s Wharf + Pier 39,,0,,2026-07-04,,,,,,,https://www.pier39.com/,San Francisco,,,,Cluster turistico ma comodo; fare senza dedicarci mezza giornata.,,,,Alta,,,,,,
cose_da_fare,,Vista,Lombard Street,,0,,2026-07-04,,,,,,,https://www.sftravel.com/things-to-do/attractions/iconic-sf/lombard-street,San Francisco,,,,"Da fare se passa lungo il percorso, non come priorità assoluta.",,,,Media,,,,,,
cose_da_fare,,Esperienza,Cable car,,8 a corsa circa,,2026-07-04,,,,,,,https://www.sfmta.com/getting-around/muni/cable-cars,San Francisco,,,,Coda variabile. Utile se volete fare esperienza classica senza usare troppo l’auto.,,,,Media,,,,,,
cose_da_fare,,Biglietto,Alcatraz Day Tour,,47.95 a persona circa,,2026-07-05,,,,,,,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,San Francisco,,,,Prenotare prima; nella guida è indicato come esperienza che merita.,,,,Alta,,,,,,
cose_da_fare,,Passeggiata,Ferry Building + Embarcadero,,0,,2026-07-05,,,,,,,https://www.ferrybuildingmarketplace.com/,San Francisco,,,,Comodo prima/dopo zona Pier/Alcatraz.,,,,Alta,,,,,,
cose_da_fare,,Quartiere,Chinatown + North Beach,,0,,2026-07-05,,,,,,,https://www.sftravel.com/things-to-do/attractions/neighborhoods/chinatown,San Francisco,,,,Da collegare con Coit Tower/Ferry Building se logisticamente comodo.,,,,Media,,,,,,
cose_da_fare,,Vista,Coit Tower,,10-15 circa,,2026-07-05,,,,,,,https://sfrecpark.org/Facilities/Facility/Details/Coit-Tower-290,San Francisco,,,,Vista bella; salire solo se avete tempo e meteo pulito.,,,,Media,,,,,,
